"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_f"
1,36.2,36.2,63.8,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Les habitants d'Aeugst am Albis rejettent une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 63,8 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 68 pour cent de oui. Les citoyens d'Aeugst am Albis avaient déjà refusé la précédente révision de l'AVS en 2017."
2,62.5,62.5,37.5,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","C'est oui à 62,5 pour cent à une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS à Affoltern am Albis. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 68,6 pour cent de non. Les citoyens d'Affoltern am Albis avaient déjà refusé la précédente révision de l'AVS en 2017."
3,83.4,83.4,16.6,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","C'est oui à 83,4 pour cent à une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS à Bonstetten. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 63,9 pour cent de non. Bonstetten avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
4,58,58,42,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","A Hausen am Albis, les habitants disent oui à 58 pour cent à une augmentation du taux de TVA pour financer la réforme de l'AVS. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 67,5 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Hausen am Albis passe cette fois-ci du côté du oui."
5,61.3,61.3,38.7,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Les habitants de Hedingen approuvent une augmentation du taux de TVA pour financer la réforme de l'AVS avec 61,3 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 53,2 pour cent de non. Hedingen avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
6,60.7,60.7,39.3,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","C'est oui à 60,7 pour cent à une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS à Kappel am Albis. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 54 pour cent de non. Les citoyens de Kappel am Albis avaient déjà refusé la précédente révision de l'AVS en 2017."
7,58.2,58.2,41.8,"Knonau ZH","Knonau (ZH)","Knonau ZH","Les habitants de Knonau approuvent une augmentation du taux de TVA pour financer la réforme de l'AVS avec 58,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 72,3 pour cent de non. Knonau avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
8,92.7,92.7,7.3,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","A Maschwanden, les habitants sont favorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 92,7 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 87,8 pour cent de non. Les citoyens de Maschwanden avaient déjà refusé la précédente révision de l'AVS en 2017."
9,33.6,33.6,66.4,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","A Mettmenstetten, les habitants disent non à 66,4 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 59,6 pour cent de non. Mettmenstetten avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
10,10.1,10.1,89.9,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","A Obfelden, les habitants disent non à 89,9 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 50,5 pour cent de non. Obfelden avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
11,73,73,27,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Les habitants d'Ottenbach approuvent une augmentation du taux de TVA pour financer la réforme de l'AVS avec 73 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 58,6 pour cent de non. Les citoyens d'Ottenbach avaient déjà refusé la précédente révision de l'AVS en 2017."
12,76.2,76.2,23.8,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Les habitants de Rifferswil approuvent une augmentation du taux de TVA pour financer la réforme de l'AVS avec 76,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 71,2 pour cent de non. Rifferswil avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
13,72,72,28,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","A Stallikon, les habitants disent oui à 72 pour cent à une augmentation du taux de TVA pour financer la réforme de l'AVS. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 57,1 pour cent de non. Les citoyens de Stallikon avaient déjà refusé la précédente révision de l'AVS en 2017."
14,98.1,98.1,1.9,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Les habitants de Wettswil am Albis acceptent une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 98,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 85 pour cent de non. Les citoyens de Wettswil am Albis avaient déjà refusé la précédente révision de l'AVS en 2017."
21,89.5,89.5,10.5,"Adlikon ZH","Adlikon (ZH)","Adlikon ZH","Les électeurs d'Adlikon valident une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 89,5 pour cent des suffrages. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 57,2 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Adlikon passe cette fois-ci du côté du oui."
22,36.6,36.6,63.4,"Benken ZH","Benken (ZH)","Benken ZH","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à Benken (ZH) avec 63,4 pour cent des voix. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 53,2 pour cent de oui. Les citoyens de Benken (ZH) avaient déjà refusé la précédente révision de l'AVS en 2017."
23,63.3,63.3,36.7,"Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","C'est oui à 63,3 pour cent à une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS à Berg am Irchel. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 60 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Berg am Irchel passe cette fois-ci du côté du oui."
24,85.1,85.1,14.9,"Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","Les électeurs de Buch am Irchel valident une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 85,1 pour cent des suffrages. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 67,7 pour cent de non. Les citoyens de Buch am Irchel avaient déjà refusé la précédente révision de l'AVS en 2017."
25,52.3,52.3,47.7,"Dachsen ZH","Dachsen (ZH)","Dachsen ZH","Les électeurs de Dachsen valident une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 52,3 pour cent des suffrages. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 53,4 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Dachsen passe cette fois-ci du côté du oui."
26,8.6,8.6,91.4,"Dorf ZH","Dorf (ZH)","Dorf ZH","A Dorf, les habitants sont défavorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 91,4 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 66,8 pour cent de oui. Les citoyens de Dorf avaient déjà refusé la précédente révision de l'AVS en 2017."
27,67.7,67.7,32.3,"Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH","C'est oui à 67,7 pour cent à une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS à Feuerthalen. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 92,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Feuerthalen passe cette fois-ci du côté du oui."
28,29.9,29.9,70.1,"Flaach ZH","Flaach (ZH)","Flaach ZH","Les habitants de Flaach rejettent une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 70,1 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 57,7 pour cent de oui. Les citoyens de Flaach avaient déjà refusé la précédente révision de l'AVS en 2017."
29,88.6,88.6,11.4,"Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH","C'est oui à 88,6 pour cent à une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS à Flurlingen. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 50,1 pour cent de non. Flurlingen avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
30,24.4,24.4,75.6,"Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH","Les habitants d'Andelfingen s'opposent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 75,6 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 89,4 pour cent de oui. Les citoyens d'Andelfingen avaient déjà refusé la précédente révision de l'AVS en 2017."
31,41.9,41.9,58.1,"Henggart ZH","Henggart (ZH)","Henggart ZH","C'est non à 58,1 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS à Henggart. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 92,2 pour cent de non. Les citoyens de Henggart avaient déjà refusé la précédente révision de l'AVS en 2017."
32,14.2,14.2,85.8,"Humlikon ZH","Humlikon (ZH)","Humlikon ZH","L'augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS échoue à Humlikon avec 85,8 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 85,8 pour cent de oui. Les citoyens de Humlikon avaient déjà refusé la précédente révision de l'AVS en 2017."
33,59.1,59.1,40.9,"Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen ZH","Les habitants de Kleinandelfingen approuvent une augmentation du taux de TVA pour financer la réforme de l'AVS avec 59,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 81,6 pour cent de non. Les citoyens de Kleinandelfingen avaient déjà refusé la précédente révision de l'AVS en 2017."
34,38,38,62,"Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen ZH","C'est non à 62 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS à Laufen-Uhwiesen. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 78,1 pour cent de oui. Les citoyens de Laufen-Uhwiesen avaient déjà refusé la précédente révision de l'AVS en 2017."
35,68.3,68.3,31.7,"Marthalen ZH","Marthalen (ZH)","Marthalen ZH","Les habitants de Marthalen approuvent une augmentation du taux de TVA pour financer la réforme de l'AVS avec 68,3 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 86,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Marthalen passe cette fois-ci du côté du oui."
37,44.7,44.7,55.3,"Ossingen ZH","Ossingen (ZH)","Ossingen ZH","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à Ossingen avec 55,3 pour cent des voix. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 52,4 pour cent de oui. Les citoyens d'Ossingen avaient déjà refusé la précédente révision de l'AVS en 2017."
38,68.1,68.1,31.9,"Rheinau ZH","Rheinau (ZH)","Rheinau ZH","Les habitants de Rheinau acceptent une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 68,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 55,9 pour cent de non. Rheinau avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
39,39.2,39.2,60.8,"Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Thalheim an der Thur ZH","Les habitants de Thalheim an der Thur rejettent une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 60,8 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 50,3 pour cent de non. Les citoyens de Thalheim an der Thur avaient déjà refusé la précédente révision de l'AVS en 2017."
40,53.4,53.4,46.6,"Trüllikon ZH","Trüllikon (ZH)","Trüllikon ZH","Les électeurs de Trüllikon valident une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 53,4 pour cent des suffrages. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 64,3 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Trüllikon passe cette fois-ci du côté du oui."
41,16.7,16.7,83.3,"Truttikon ZH","Truttikon (ZH)","Truttikon ZH","A Truttikon, les habitants disent non à 83,3 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 69,2 pour cent de non. Les citoyens de Truttikon avaient déjà refusé la précédente révision de l'AVS en 2017."
43,49.7,49.7,50.3,"Volken ZH","Volken (ZH)","Volken ZH","A Volken, les habitants sont défavorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 50,3 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 55,5 pour cent de non. Les citoyens de Volken avaient déjà refusé la précédente révision de l'AVS en 2017."
51,34.2,34.2,65.8,"Bachenbülach ZH","Bachenbülach (ZH)","Bachenbülach ZH","L'augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS échoue à Bachenbülach avec 65,8 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 76 pour cent de oui. Les citoyens de Bachenbülach avaient déjà refusé la précédente révision de l'AVS en 2017."
52,61.6,61.6,38.4,"Bassersdorf ZH","Bassersdorf (ZH)","Bassersdorf ZH","A Bassersdorf, les habitants disent oui à 61,6 pour cent à une augmentation du taux de TVA pour financer la réforme de l'AVS. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 71,1 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Bassersdorf passe cette fois-ci du côté du oui."
53,21.4,21.4,78.6,"Bülach ZH","Bülach (ZH)","Bülach ZH","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à Bülach avec 78,6 pour cent des voix. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 77,5 pour cent de oui. Les citoyens de Bülach avaient déjà refusé la précédente révision de l'AVS en 2017."
54,10.3,10.3,89.7,"Dietlikon ZH","Dietlikon (ZH)","Dietlikon ZH","L'augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS échoue à Dietlikon avec 89,7 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 60,4 pour cent de non."
55,39.1,39.1,60.9,"Eglisau ZH","Eglisau (ZH)","Eglisau ZH","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à Eglisau avec 60,9 pour cent des voix. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 57 pour cent de non. Les citoyens d'Eglisau avaient déjà refusé la précédente révision de l'AVS en 2017."
