"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",69.9,30.1,69.9,162,162,
2,"Bern","Berne","Berna",60.3,39.7,60.3,334,334,
3,"Luzern","Lucerne","Lucerna",67.3,32.7,67.3,80,80,
4,"Uri","Uri","Uri",11.1,88.9,11.1,19,19,
5,"Schwyz","Schwyz","Svitto",30.7,69.3,30.7,30,30,
6,"Obwalden","Obwald","Obvaldo",73.9,26.1,73.9,7,7,
7,"Nidwalden","Nidwald","Nidvaldo",41.8,58.2,41.8,11,11,
8,"Glarus","Glaris","Glarona",80.6,19.4,80.6,3,3,
9,"Zug","Zoug","Zugo",51.2,48.8,51.2,11,11,
10,"Freiburg","Fribourg","Friburgo",68.5,31.5,68.5,126,126,
11,"Solothurn","Soleure","Soletta",98,2,98,107,107,
12,"Basel-Stadt","Bâle-Ville","Basilea Città",33.9,66.1,33.9,3,3,
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",22.1,77.9,22.1,86,86,
14,"Schaffhausen","Schaffhouse","Sciaffusa",79.5,20.5,79.5,26,26,
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",28.6,71.4,28.6,20,20,
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",9.8,90.2,9.8,5,5,
17,"St. Gallen","Saint-Gall","San Gallo",95.2,4.8,95.2,77,77,
18,"Graubünden","Grisons","Grigioni",98.6,1.4,98.6,101,101,
19,"Aargau","Argovie","Argovia",6.2,93.8,6.2,200,200,
20,"Thurgau","Thurgovie","Turgovia",25.4,74.6,25.4,80,80,
21,"Tessin","Tessin","Ticino",87.4,12.6,87.4,106,106,
22,"Waadt","Vaud","Vaud",20.6,79.4,20.6,300,300,
23,"Wallis","Valais","Vallese",5.9,94.1,5.9,122,122,
24,"Neuenburg","Neuchâtel","Neuchâtel",94.8,5.2,94.8,27,27,
25,"Genf","Genève","Ginevra",68.1,31.9,68.1,45,45,
26,"Jura","Jura","Giura",33.3,66.7,33.3,53,53,
