"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",71.8,28.2,71.8,162,162,
2,"Bern","Berne","Berna",79.3,20.7,79.3,334,334,
3,"Luzern","Lucerne","Lucerna",35.6,64.4,35.6,80,80,
4,"Uri","Uri","Uri",60.9,39.1,60.9,19,19,
5,"Schwyz","Schwyz","Svitto",75,25,75,30,30,
6,"Obwalden","Obwald","Obvaldo",94.7,5.3,94.7,7,7,
7,"Nidwalden","Nidwald","Nidvaldo",72.6,27.4,72.6,11,11,
8,"Glarus","Glaris","Glarona",14.2,85.8,14.2,3,3,
9,"Zug","Zoug","Zugo",18,82,18,11,11,
10,"Freiburg","Fribourg","Friburgo",25.8,74.2,25.8,126,126,
11,"Solothurn","Soleure","Soletta",74.2,25.8,74.2,107,107,
12,"Basel-Stadt","Bâle-Ville","Basilea Città",84.3,15.7,84.3,3,3,
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",80.8,19.2,80.8,86,86,
14,"Schaffhausen","Schaffhouse","Sciaffusa",3.5,96.5,3.5,26,26,
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",17.1,82.9,17.1,20,20,
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",23.2,76.8,23.2,5,5,
17,"St. Gallen","Saint-Gall","San Gallo",59.5,40.5,59.5,77,77,
18,"Graubünden","Grisons","Grigioni",72.5,27.5,72.5,101,101,
19,"Aargau","Argovie","Argovia",48.6,51.4,48.6,200,200,
20,"Thurgau","Thurgovie","Turgovia",58.6,41.4,58.6,80,80,
21,"Tessin","Tessin","Ticino",76.3,23.7,76.3,106,106,
22,"Waadt","Vaud","Vaud",33.5,66.5,33.5,300,300,
23,"Wallis","Valais","Vallese",48.4,51.6,48.4,122,122,
24,"Neuenburg","Neuchâtel","Neuchâtel",41.3,58.7,41.3,27,27,
25,"Genf","Genève","Ginevra",27.7,72.3,27.7,45,45,
26,"Jura","Jura","Giura",28.5,71.5,28.5,53,53,
