"Kantons_Nr","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Nein_Stimmen_In_Prozent_Kanton","Kanton_color","Gemeinden_overall","Gemeinden_counted","Legende"
1,"Zürich","Zurich","Zurigo",68.2,31.8,68.2,162,162,
2,"Bern","Berne","Berna",79.8,20.2,79.8,334,334,
3,"Luzern","Lucerne","Lucerna",33.8,66.2,33.8,80,80,
4,"Uri","Uri","Uri",25.3,74.7,25.3,19,19,
5,"Schwyz","Schwyz","Svitto",55.8,44.2,55.8,30,30,
6,"Obwalden","Obwald","Obvaldo",13.9,86.1,13.9,7,7,
7,"Nidwalden","Nidwald","Nidvaldo",71.2,28.8,71.2,11,11,
8,"Glarus","Glaris","Glarona",45.3,54.7,45.3,3,3,
9,"Zug","Zoug","Zugo",52.9,47.1,52.9,11,11,
10,"Freiburg","Fribourg","Friburgo",38.4,61.6,38.4,126,126,
11,"Solothurn","Soleure","Soletta",19.1,80.9,19.1,107,107,
12,"Basel-Stadt","Bâle-Ville","Basilea Città",51.6,48.4,51.6,3,3,
13,"Basel-Landschaft","Bâle-Campagne","Basilea Campagna",3,97,3,86,86,
14,"Schaffhausen","Schaffhouse","Sciaffusa",83,17,83,26,26,
15,"Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures","Appenzello Esterno",71.1,28.9,71.1,20,20,
16,"Appenzell Innerrhoden","Appenzell Rhodes-Intérieures","Appenzello Interno",13.3,86.7,13.3,5,5,
17,"St. Gallen","Saint-Gall","San Gallo",44.5,55.5,44.5,77,77,
18,"Graubünden","Grisons","Grigioni",13.2,86.8,13.2,101,101,
19,"Aargau","Argovie","Argovia",8.3,91.7,8.3,200,200,
20,"Thurgau","Thurgovie","Turgovia",70.3,29.7,70.3,80,80,
21,"Tessin","Tessin","Ticino",10.1,89.9,10.1,106,106,
22,"Waadt","Vaud","Vaud",69.3,30.7,69.3,300,300,
23,"Wallis","Valais","Vallese",60.1,39.9,60.1,122,122,
24,"Neuenburg","Neuchâtel","Neuchâtel",41.3,58.7,41.3,27,27,
25,"Genf","Genève","Ginevra",45,55,45,45,45,
26,"Jura","Jura","Giura",43.7,56.3,43.7,53,53,
